Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke suite,Windows - Chrome 119.0.0.0,,,23-01-2024 17:32:37,23-01-2024 17:35:38,3m - 1.447s,PASSED
,,,,,,,
Test Cases/Login,Windows - Chrome 119.0.0.0,,,23-01-2024 17:32:37,23-01-2024 17:33:54,1m - 17.240s,PASSED
"openBrowser("""")",Windows - Chrome 119.0.0.0,,,23-01-2024 17:32:38,23-01-2024 17:33:05,27.084s,PASSED
"navigateToUrl(""https://pyxis.lifeisgoodforlearner.com/login"")",Windows - Chrome 119.0.0.0,,,23-01-2024 17:33:05,23-01-2024 17:33:08,3.395s,PASSED
"sendKeys(findTestObject(""Page_Login/input_email""), ""ankit@qable.io"")",Windows - Chrome 119.0.0.0,,,23-01-2024 17:33:08,23-01-2024 17:33:12,3.470s,PASSED
"sendKeys(findTestObject(""Page_Login/input_password""), ""QAble@2020"")",Windows - Chrome 119.0.0.0,,,23-01-2024 17:33:12,23-01-2024 17:33:15,2.858s,PASSED
"click(findTestObject(""Page_Login/span_Login""))",Windows - Chrome 119.0.0.0,,,23-01-2024 17:33:15,23-01-2024 17:33:17,2.862s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Login/svg""))",Windows - Chrome 119.0.0.0,,,23-01-2024 17:33:17,23-01-2024 17:33:54,37.056s,PASSED
,,,,,,,
Test Cases/VerifyDashboard,Windows - Chrome 119.0.0.0,,,23-01-2024 17:33:54,23-01-2024 17:35:38,1m - 43.880s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Windows - Chrome 119.0.0.0,,,23-01-2024 17:33:55,23-01-2024 17:35:16,1m - 21.073s,PASSED
"waitForElementClickable(findTestObject(""button_Create Sequence""), 5)",Windows - Chrome 119.0.0.0,,,23-01-2024 17:35:16,23-01-2024 17:35:19,3.277s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/logout/button_Create Sequence""))",Windows - Chrome 119.0.0.0,,,23-01-2024 17:35:19,23-01-2024 17:35:24,5.233s,PASSED
"click(findTestObject(""Object Repository/logout/div_AP""))",Windows - Chrome 119.0.0.0,,,23-01-2024 17:35:24,23-01-2024 17:35:28,3.494s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/logout/div_Log Out""))",Windows - Chrome 119.0.0.0,,,23-01-2024 17:35:28,23-01-2024 17:35:31,3.444s,PASSED
"click(findTestObject(""Object Repository/logout/div_Log Out""))",Windows - Chrome 119.0.0.0,,,23-01-2024 17:35:31,23-01-2024 17:35:34,3.342s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/logout/span_Welcome Back to Saleshandy""))",Windows - Chrome 119.0.0.0,,,23-01-2024 17:35:34,23-01-2024 17:35:38,3.839s,PASSED
